race_id,race_title,race_distance,race_elevation
474,FESTIVAL CAVALLS DEL VENT 2021 - Cavalls del Vent - OPEN,5650 M+,87.2 KM
469,Porto Santo Nature Trail® 2021 2021 - Mini Trail do Porto Santo,310 M+,7.9 KM
2005,Grands Trails des Vallons de la Vilaine 2022 - 84k,1700 M+,84 KM
583,Promina Trail 2021 - VELIKI TOČAK,2180 M+,32.3 KM
582,Altai Ultra-Trail® 2021 - AUT S,2550 M+,48 KM
581,Trail du Grand Sénonais 2021 - La L'yonne,660 M+,34.3 KM
580,Lemkowyna Ultra-Trail® - May 2021 - LUT150,5500 M+,148.4 KM
584,Sentul Hill Trail Run 2021 - Sentul Pandemic Ultra 45,2860 M+,46 KM
579,Montan'Aspe 2021 - le Défi de l'Ourdinse,2600 M+,35.1 KM
1493,Haga Spring Trail 2022 - 2peaks,920 M+,17 KM
1492,Dublin mountain Championship trail running festival  2021 - 50 km trail,1752 M+,50 KM
1490,Ishioka Trailrun Race 2022 - Super Long,2080 M+,50 KM
1489,Hutsul Trail 2022 - Sokolyne Oko,3360 M+,51 KM
2614,CM6 2022 - CM2,2470 M+,42.6 KM
2604,High Trail Vanoise 2022 - HTV,4620 M+,61.5 KM
2416,Snowdon24 2022 - Mont Blanc Award,4825 M+,76.5 KM
2415,The Peak 2022 2022 - 4Peaks,3620 M+,33.2 KM
2412,Cotswold  Challenge 2022 - Cotswold Challenge - 2nd Half,658 M+,47 KM
2411,Gran Trail Trangoworld Aneto-Posets 2022 - Vuelta al Aneto,3590 M+,55.6 KM
2408,KTR ULTRA CANASTRA 2022 2022 - 100K SOLO,3847 M+,107 KM
2407,Greenweez MaXi-Race 2022 - MaXi-Challenger,2490 M+,44.8 KM
2406,BUTS Iruñea-Donostia 2022 - Iruñea-Donostia BUTS,6610 M+,119.1 KM
2405,Tramuntana Travessa 2022 - TTCMM Pollença-Andratx,4555 M+,120 KM
2404,Cocodona 250 2022,10200 M+,409.5 KM
1895,Trans Aubrac 2022 - Trans Aubrac Relais 2,1720 M+,30.4 KM
1679,NORD TRAIL MONTS DE FLANDRES 2022 - 80 KM,1797 M+,75.1 KM
1668,Hook or Crook 2022 - Hook or Crook Ultra,1860 M+,48.4 KM
1667,Le Radicatrail 2022 - Le Grand Défi,2509 M+,93 KM
1666,Ultra Desafio Morungaba - SP 2022 - Ultra Desafio 100 km,2500 M+,97.5 KM
1665,CerroRojo 50k 2022,2999 M+,50 KM
1664,Isle of Wight Challenge 2022 - Isle of Wight - 1st Half,1140 M+,52 KM
1661,Trail Des Balcons d'Azur 2022 - Défi TBA,4210 M+,103.7 KM
1652,Cruel Jewel 2022 - Cruel Jewel 100,9740 M+,178.3 KM
1649,Endurancelife | Pembrokeshire 2022 - Endurancelife | Pembrokeshire | Ultra Marathon,1630 M+,55.9 KM
1639,Diabolik de Ragnar 2022 - Diabolik de Ragnar Solo - 4 boucles,1760 M+,32.3 KM
1636,Trail des 4 Vents 2022 - 30 km du T4V,1500 M+,32.2 KM
1632,"Ferriere Trail Festival 2022 - FCR, Ferriere Classic Ring, 54",3060 M+,57.1 KM
1627,TIKEN TRAIL 2022 - 13 km,310 M+,13 KM
1625,Trail du Cirque du Fer à Cheval 2022 - Trail 32km,1300 M+,32.7 KM
1620,Huemules Challenge 2022 - 33K,1549 M+,33 KM
1601,La sportiva Trail del Marchesato 2022 - 38k,2180 M+,39.4 KM
1600,Hunting Trail-Puli Sixth Show 2022 2022 - Puli Three Shows,5350 M+,69 KM
1487,Trencacims Paüls 2022 - Ultramarató de les Terres de l'Ebre,4000 M+,51 KM
1486,LA DIAGONALE DES YVELINES 2022 - TRAIL 50 KM,830 M+,51.1 KM
652,Jingxigudao 2021 - Beijing West Trail 2021 - 25KM,1260 M+,24.3 KM
641,Chester Ultra 50 2021 - Chester Ultra 100,1540 M+,167 KM
640,Hardmoors 2021 - 110 Mi,4200 M+,169.9 KM
638,Trail de Chimay 2021 - 27km,650 M+,26.8 KM
637,Trail So Bugey 2021 - 33km,1740 M+,33.9 KM
636,COPA JULBO TEQUENDAMA TRAIL RUNNING 2021 - Las Juntas Run 2021 -35K,1300 M+,34.1 KM
632,Sierra Andina - Chavin Trail 2021 - Chavin Trail 18k,1630 M+,17.3 KM
631,Caldela's Marathons 2021 - Caldela's Marathons 5 Bucles,13110 M+,185.8 KM
630,Trail So Bugey 2021 - 45km,2290 M+,45.8 KM
610,Northants Ultra 2021,1300 M+,55.7 KM
747,Tamba 100 Adventure Trail 2021 - 170K,14000 M+,170 KM
1497,Kumagawa Revival Trail 2022 - Kawabegawa Course,4760 M+,107.9 KM
768,Ultra trail panoramic 2021 - 50 km,1910 M+,53.8 KM
789,Grand Trail Des Lacs Et Chateaux Summer Edition (GTLC) 2021 - GT42,1510 M+,42.8 KM
787,Chongli Trail run Challenge 7th 2021 - 70km,2970 M+,71.5 KM
785,SKYLINE TRAIL SUGADAIRA 2021 - Sky Full,2250 M+,43.9 KM
2417,Vagamon Ultrail 2022 - Fun Run,900 M+,32 KM
2414,FESTIVAL CAVALLS DEL VENT 2022 - Cavalls del Vent - HALF,2870 M+,44 KM
2413,BUTS Iruñea-Donostia 2022 - Iruñea-Donostia BUTS TXIKI,3550 M+,70.9 KM
2410,KTR ULTRA CANASTRA 2022 2022 - 100K TEAM,3837 M+,107 KM
2409,Trail du Grand Sénonais 2022 - La L'yonne,700 M+,34.4 KM
2401,Leadville Silver Rush 50 Run 2022 - Leadville Silver Rush 50 Run,2346 M+,77 KM
2400,Llanganuco Mountain Trail 2022 - 30K,1480 M+,31.2 KM
2015,East Devon Round 2022,3048 M+,102.8 KM
2014,Koh Tao Mountain Trail 2022 - KTMT40,2400 M+,42 KM
2013,101 Km Peregrinos 2022 - 101 Km Peregrinos,3570 M+,103 KM
2011,Ultramaraton Babia Góra 2022 - 4xBabia Góra,5200 M+,75 KM
2009,"19° Edición “UT-Tafí” 2022 - 85K - ""UT-Tafí""",3140 M+,86.5 KM
2008,Greenweez MaXi-Race 2022 - MaXi-Race l'Ultra tOur du Lac d'Annecy,5391 M+,86.6 KM
2007,Ultra Trail Causses et Vallées Lot  Dordogne 2022 - LE SECTORIEL TRAIL,1400 M+,42 KM
2006,Dyfi ULTRA 50 Miles 2022 - Dyfi ULTRA,3800 M+,80 KM
2000,Ecotrail Genève 2022 - 80KM - Into the Wild,2720 M+,81.1 KM
1997,DEEP JAPAN ULTRA 100 2022 - UONUMA,4000 M+,77 KM
1996,Le Radicatrail 2022 - Le Super Défi,5495 M+,188 KM
1995,Ultra Scotland 2022 - Ultra Scotland 50,2560 M+,88.6 KM
1993,DrewHome Beskidzki Topor 2022,1911 M+,43 KM
1991,ULTRA TRAIL MUNTANYES COSTA DAURADA 2022 - MMCD 43KM - Maraton,1800 M+,43 KM
1967,Waterville Trailrunning Festival 2022 - WTF 130km Triple Loop,3950 M+,130.1 KM
1699,Ultra Desafio Morungaba - SP 2022 - Ultra Desafio 75 km,1900 M+,69.1 KM
1698,DrewHome Beskidzki Topor 2022,3287 M+,73 KM
1693,ULTRA TRAIL MUNTANYES COSTA DAURADA 2022 - STAGE RUN (ETAPAS),4999 M+,84 KM
1692,100 miles of Beskid Wyspowy 2022 - 30 miles,1884 M+,46.8 KM
1689,FULL MOON TRAIL 2022 - TRAIL ESTELLO,1750 M+,70 KM
1688,EcoTrail Paris® 2022 - Trail 30 km,520 M+,30.5 KM
1686,Ultralanovka pre Plamienok 2022 - Ultralanovka pre Plamienok 2022,1940 M+,30 KM
1685,Corvus Trail 2022 - Corvus Trail - Longo,1210 M+,30 KM
1684,Trail de la Sainte Baume 2022 - Boucle Cugeoise,1330 M+,23.8 KM
1583,Dyfi X 2022 - Marathon,1600 M+,42.2 KM
769,The South West Traverse 2021 - The South West Traverse Solo,2100 M+,72.1 KM
767,Ultra-Trail® Malopolska 2021 - UTM 105,5580 M+,103.2 KM
766,TECHNI TRAIL TIRANGES 2021 - Ultra Techni'Trail Tiranges,5040 M+,82.8 KM
763,Lake District Challenge 2021 - Lake  District  - Full,2380 M+,100.4 KM
761,ULTRA COAHUILA GARMIN 2021 - 163K Ultra Coahuila,9480 M+,163.1 KM
760,Santo Antão Triangle Trail 2021 - Ultra Trail Santo Antão,6590 M+,99.9 KM
756,Run The Rock 2021 - 50 Mile,2260 M+,76.5 KM
755,ULTRA BOUCLE DE LA SARRA 2021 - Fuji Talc,4430 M+,111.8 KM
754,3 Días Trail Ibiza-Ultra Ibiza 2021 - Ultra ibiza,3400 M+,84.5 KM
791,CM6 2021 - CM4,4910 M+,80.9 KM
784,EcoTrail Stockholm 2021 - 8 Km,200 M+,8 KM
782,UTTN 2021 - UTTN chardon 45km 2021,1390 M+,44.9 KM
779,London 2 Brighton Challenge 2021 - London 2 Brighton - 2nd Half,720 M+,45.3 KM
777,The Great Mawla Ghaati Ultra21 2021 - 45km - Mawla,2950 M+,45.6 KM
776,Blizko Trail 2021 - Blizko 54K,815 M+,54.4 KM
773,Santo Antão Triangle Trail 2021 - Trail-Stage 1 Ribeira das Patas,2320 M+,29.4 KM
764,Santo Antão Triangle Trail 2021 - Santo Antão Triangle Trail-Extreme,7110 M+,98.6 KM
759,Salamandra Ultra Trail 2021 - SUT100,5370 M+,109.6 KM
2180,Trail du Grand Ballon 2022 - 32km,1350 M+,32 KM
2170,Oh Meu Deus 2022 - K50+,3270 M+,55.8 KM
2166,Thracian Ultra 2022 - Gela Run,1160 M+,20 KM
2159,TRAIL DES 2 AMANTS 2022 - Aventur'TDA 25,710 M+,25 KM
1700,Sierra Andina - Churup Trail 2022 - CHURUP TRAIL 45K,3010 M+,45.3 KM
1696,Five Rivers Ultra 2022 - Three Rivers Ultra,1240 M+,82.1 KM
1695,Tanz in den Mai 2022 - Tanz in den Mai - 13 Loops,2400 M+,45.5 KM
1691,Ultraroztocze 2022 - UltraRoztocze 90,1300 M+,90 KM
1682,Louzantrail® 2022,2050 M+,30 KM
1681,Thracian Ultra 2022 - Yagodina Cave Ultra,5220 M+,95 KM
1678,Trail du Grand Ballon 2022 - 48km,2270 M+,47.6 KM
1677,Cruel Jewel 2022 - Cruel Jewel 50,5330 M+,95.3 KM
1674,Hunting Trail-Puli Sixth Show 2022 2022 - Puli Second Show,3480 M+,48 KM
1650,Ohrid Ultra-Trail® 2022 - Ohrid Ultra-Trail® 100K,2970 M+,90.5 KM
1646,Ötzi-Trailrun Naturns 2022 - Sunny Mountain Trail,2100 M+,30 KM
1643,Nogueruelas Trails 2022 - Trail Nogueruelas,1560 M+,30.1 KM
1634,ARDECHE TRAIL - LA VOIE ROMAINE 2022 - La Virée des Chateaux - 57km,2400 M+,57 KM
1618,Akamas Trail Running Festival 2022 - 38k,1090 M+,38.7 KM
1611,Champa Ultra Race Petzl - Salming 2022 - Champa Ultra Trail,2685 M+,37 KM
1610,Ballyhoura Trail Ultra Marathon 2022,1760 M+,61.7 KM
1609,Vodno-Matka Trails 2022 - Vodno-Matka Trail Marathon,2700 M+,40 KM
1605,The Double Top Ultra 2022,2020 M+,62.3 KM
1603,Rarau Everesting 8.848+ 2022 - Rarau Everesting Kilimanjaro 6,5270 M+,65 KM
1598,Ultra Trail do Marão 2022 - TM,2500 M+,40 KM
1597,Trail des Cabornis 2022 - 40 km,1930 M+,40.2 KM
1580,Carrera Alto Sil 2022,1900 M+,32.8 KM
1568,Champa Ultra Race Petzl 2022 - Champa Ultra Trail,3300 M+,50 KM
1532,Champa Ultra Race Petzl - Salming 2022 - 68km,4630 M+,67.3 KM
758,Pelister Ultra-Trail® 2021 - Big Lake 18K,1150 M+,18.1 KM
748,South Downs 100 K 2021 - 100k,2410 M+,99.9 KM
2167,SPEEDGOAT by UTMB 2022 - 28K,2090 M+,29.8 KM
2165,On Sachsen Trail 2022 - UltraRun,2120 M+,74.3 KM
970,"Blizko Trail 2021 - Blizko Relay, Stage 3",230 M+,13.6 KM
965,Carreras Guatemala 2021 - 42k UTG,2500 M+,40 KM
964,"Blizko Trail 2021 - Blizko Relay, Stage 1",230 M+,13.6 KM
2162,London 2 Brighton Challenge 2022 - London 2 Brighton -1st Half,620 M+,55.5 KM
2161,Altai Ultra-Trail® 2022 - AUT78 (L),3980 M+,78.5 KM
2160,Ultra Wales 2022,3394 M+,80 KM
2158,Trail des Gorges de l'Ardèche 2022 - Trail des gorges,2320 M+,56 KM
2157,Ultra Maratona Caminhos Do Tejo 2022 - Maratona,1220 M+,58 KM
2156,La Sauta Roc 2022 - 26km,1085 M+,26 KM
2155,ITURBIDE U-Trail 2022 - UTI 30K,1480 M+,32.4 KM
2152,Sapanca Ultra Trail 2022 - Sapanca Ultra Marathon 60K,2511 M+,58 KM
1671,Ultra Pallars 360 2022 - UP 360,4297 M+,95.8 KM
1663,TRAIL DU ROC DE LA LUNE 2022 - ULTRA DU PAS DU DIABLE,-,0 KM
1657,Sardinia Trail 2022,4285 M+,100.8 KM
1656,Strážnická stovka 2022 - SC2022-CH,2565 M+,101.3 KM
1653,Rarau Everesting 8.848+ 2022 - Rarau Everesting Mont Blanc 5,4370 M+,55 KM
1640,Le Radicatrail 2022 - Le Radicassant,3420 M+,126.2 KM
1637,Mesquite Canyon 2022 - 30 Km,710 M+,30.6 KM
1635,Frozen Peaks 2022 - Highland,2290 M+,97.1 KM
1624,Hutsul Trail 2022 -  Skelna Bashta,2020 M+,33 KM
1622,Ultra Sierra Nevada 2022 - Maratón,2730 M+,37.5 KM
1621,Bieg Kreta 2022 - Hardcore 377 km,11800 M+,376.7 KM
1589,Trail du Grand Ballon 2022 - 70km,3470 M+,70.5 KM
1585,Dublin mountain Championship trail running festival  2021 - 100 km trail,3800 M+,100 KM
1582,Mesquite Canyon 2022 - 50 Km,1510 M+,49.5 KM
1581,ALANYA ULTRA 2022 - TAURUS MOUNTAIN MARATHON,2380 M+,48 KM
1578,TIKEN TRAIL 2022 - 19 km,470 M+,19 KM
1573,Krabat Trail 2022 - Krabat Trail 36K,1370 M+,36 KM
1570,The Malvern Hills Ultra 2022,1853 M+,71 KM
1565,Huemules Challenge 2022 - 54K,2644 M+,54 KM
1562,Aktivitus Trailrace 2022 - Ultra-Race,1970 M+,72.6 KM
1561,Promina Trail 2022 - MALI TOČAK,2200 M+,39.3 KM
1553,Trail del Cinghiale 2021 - Trail del Cinghiale 100,5720 M+,103.1 KM
1552,Loud Thunder 50 2022 - Half Marathon,580 M+,21 KM
1548,Endurancelife | Sussex 2022 - Marathon,1221 M+,42.6 KM
1547,Diabolik de Ragnar 2022 - Diabolik de Ragnar Solo - 6 boucles,2640 M+,49.5 KM
1545,Trail Des Balcons d'Azur 2022 - PTIT TBA,1020 M+,23.2 KM
1540,Vuelta a Sierra Espuña 2022,2300 M+,50 KM
961,Blizko Trail 2021 - Blizko 13K,110 M+,13.6 KM
947,Vietnam Mountain Marathon 2021 - 21Km,960 M+,20.7 KM
946,Dyfi X 2021 - Half Marathon,800 M+,21.1 KM
943,Le Bélier Blanc 2022 - Trail 8 km,330 M+,8 KM
942,Trail do Zêzere 2021 - Trail do Zêzere - K34,1830 M+,34.8 KM
940,Ultra Desafio Itamonte 2021 - Ultra Desafio 85 km,3530 M+,87.3 KM
969,Ultra-trail Cape Town 2021 - 35km,2170 M+,35.5 KM
966,"Blizko Trail 2021 - Blizko Relay, Stage 2",230 M+,13.6 KM
1762,Ultra Hancza 2022 - Spring 2022 - Cisowa Trail 25 km,450 M+,25 KM
1756,Salamandra Ultra Trail 2022 - SUT25,1450 M+,25 KM
2465,ESTRELA GRANDE TRAIL 2022 - ESTRELA TAUROS,1300 M+,26 KM
2463,Challenge du Montcalm 2022 - PICaPICA,11500 M+,109 KM
2198,Desafio LPTR - 2° Etapa Pico Agudo 2022 2022 - Short Trail,900 M+,14 KM
2197,Alto Aller Trail 2022,3227 M+,32 KM
2196,The KvK 2022,920 M+,23.9 KM
2192,Adidas Terrex 2022 Chongli 2022 - GTC,8196 M+,192.8 KM
2191,Trencacims Paüls 2022 - Mitja Marató Trencacims,1800 M+,24 KM
2190,Ohrid Ultra-Trail® 2022 - Letnica Trail 22K,991 M+,18.9 KM
2183,Jarní ŠUTR 2022 - ŠUTR 54,1500 M+,54 KM
2179,Val d’Aran by UTMB® 2022 - VDA,10200 M+,160.9 KM
2173,BB Ultra 2022,2800 M+,55 KM
2172,OLYMPUS MARATHON 2022 - Olympus Ultra 70k,5300 M+,70 KM
2151,ANDES SERIES 2022 - Cerro El Cristo Trail,1400 M+,28 KM
2149,Trail du Mont Saint-Romain 2022 - 30km,1050 M+,30.5 KM
2147,Boka Bay Trail 2022 - Blue Course,1950 M+,33.7 KM
2146,Koh Tao Mountain Trail 2022 - KTMT20,1000 M+,20 KM
2142,Borneo Ultra-Trail® Marathon  2022 - BUTM 30 km,1509 M+,31 KM
1843,Ala Ala Trail 2022 - A2T,1330 M+,15.8 KM
1842,Highland Way 180 2022,5610 M+,273.6 KM
1840,Volvic Volcanic Expérience 2022 - VVX5 - 110km TRIO Relai 1,1472 M+,28.5 KM
1839,Volvic Volcanic Expérience 2022 - VVX5 - 110km TRIO  Relai 2,730 M+,32 KM
1838,DESAFIO ANSILTA 2022 - MARATHON 42K,1998 M+,39 KM
1835,Volvic Volcanic Expérience 2022 - Trail Expérience Impluvium,1700 M+,43 KM
1829,Thracian Ultra 2022,2690 M+,50 KM
1823,YUKI SPA & ADVENTURE TRAIL 2022 - Short,1050 M+,24 KM
1812,Ultrabericus Trail 2022 - Urban,680 M+,21.2 KM
1808,Pag Island Trail 2022 - Pag Island Trail Green,588 M+,24 KM
1801,LA DIAGONALE DES YVELINES 2022 - Trail 20 KM,280 M+,20 KM
1800,CerroRojo 50k 2022 - CerroRojo 30k,1870 M+,29 KM
1797,Hunting Trail-Puli Sixth Show 2022 2022 - Puli Three Shows,2370 M+,29 KM
1788,YUKI SPA & ADVENTURE TRAIL 2022 - Long,1480 M+,36 KM
1786,ULTRA TRAIL MUNTANYES COSTA DAURADA 2022 - Utmcd - 62KM,3800 M+,62 KM
1785,UTMS Desierto de los Leones  2022 - 20K,982 M+,21 KM
1784,J&J Race & Trail Running Reunion 2022 - 100 mi,3657 M+,161 KM
1755,Three Peaks Race 2022,1608 M+,37.4 KM
1753,Huemules Challenge 2022 - 21K,1095 M+,21 KM
1750,TRAIL VALL DE RIBES 2022 - 42K,3200 M+,42 KM
1749,Ultra Montseny 2022 - Viladrau-Aiguafreda,1365 M+,26 KM
1735,Shiga1 Round Trail 2022,30000 M+,438 KM
1734,TRAIL DE VULCAIN 2022 - Riom Limagne & Volcans,880 M+,22 KM
1731,Jinhua Beishan Peak 2022 - 65 Km,3520 M+,65 KM
1730,Ultraroztocze 2022 - UltraRoztocze 60,900 M+,65 KM
1729,DOMUSA TEKNIK 40 MLK 2022,3700 M+,65 KM
