race_id,race_title,race_distance,race_elevation
6110,UTTN ultra trail tour de nancy 2023 - UTTN ROI STANISLAS 108km,3740 M+,108 KM
6105,Transcend Ultra 2023 - 65km Ultra,2804 M+,65.2 KM
6104,Tramuntana Travessa 2023 - TTCMM Andratx-Pollença,4555 M+,120 KM
6103,Zumbro Endurance Run 2023 - 100m,3400 M+,162.9 KM
6102,Waldo 100k 2023,2890 M+,100.5 KM
6099,Impérial Trail de Fontainebleau 2023 - Marth'Bleau,910 M+,41 KM
6098,Alpin Team Trailrun 2023 - Alpin Team Trail K50,3450 M+,52 KM
6097,Manchester to Liverpool Ultra 2023,950 M+,80.9 KM
6091,Istria 100 by UTMB®️  2023 - 21K - White,130 M+,21.4 KM
6090,SKY GRAN CANARIA (BEYOND THE COAST SKY TOUR) 2023 - SKY UPHILL5,350 M+,4 KM
6085,Marathon Sonian Forest 2023 - 22km,290 M+,22 KM
6081,Pico Blanco Ultra Trail 2023 - Extasis Run,2261 M+,40 KM
6075,Trail du Contrebandier 2023 - 9KM,150 M+,9 KM
6073,SKYRUNNING TOUR HRP HOSPICES DE FRANCE 2023,2250 M+,27 KM
6070,"20° Edición “UT-Tafí” - 2023 2023 - 25K - ""UT-Tafí""",1040 M+,27.5 KM
6006,Sky Tupiza 2023,1187 M+,35 KM
5953,Irbis Race 2023 - Aktas Trail,1300 M+,17 KM
5949,TENERIFE BLUETRAIL 2023 - Ultra,5440 M+,102 KM
5940,BRABANTSE ULTRA TRAIL  2023 - BRABANTSE ULTRA TRAIL (BUT100),695 M+,100 KM
5935,Skyrunning Series SA 2023 - Langeberg 12km,810 M+,12 KM
5933,trail beauzacois 2023 - DENT L'DURE,1000 M+,25 KM
5927,Kajbumščak trail 2023 - Šumski Gujdek,950 M+,13.5 KM
5926,Trail Sainte-Victoire 2023 - Trail Sainte Victoire-Le Cengle,430 M+,14 KM
5925,Ultra Trail Cao Bang 2023 - UTCB120,2500 M+,128 KM
5923,Trail de l'Energie 2023 - 14km du Trail de l'Energie,1500 M+,14 KM
5920,Trail des Pangkor 2023 - Pangkor15,740 M+,16.8 KM
5913,ECOTRAIL COLOMBIA 2023 - Ecotrail Colombia,800 M+,12 KM
5912,Grand Raid du Guillestrois-Queyras 2023 - Le Trail des Lacs,3200 M+,45 KM
5906,Grande Trail Serra d'Arga 2023 - GTSA 100km,5510 M+,100 KM
5904,Runfire Salt Lake Ultra 2023 - 20K,300 M+,19.8 KM
5901,Gletscher Trailrun 2023 - Gletscher Trail 26K,1910 M+,26 KM
5900,Nuuksio Classic 2023 - Trail Marathon,820 M+,42.4 KM
2817,Ultra Sanabria by Stages 2022 - ULSA,6010 M+,110.2 KM
2816,ULTRA COAHUILA GARMIN 2022 - 100K Ultra Coahuila,5340 M+,99.1 KM
2815,5. Mazator trail 2022 - Šuma Striborova ultra trail,1820 M+,64.3 KM
2814,The Purbeck Marathon 2022 - The Purbeck Ultra,1717 M+,71.4 KM
2813,LE GRAND TRAIL DE SERRE-PONCON 2022 - TRAIL DE SERRE-PONCON,5230 M+,77.5 KM
2812,UTPKD Wake Up Run 2022 2022 - UTPKD Wake Up Run 2022_PKD70,2737 M+,75 KM
2811,RAIDLIGHT TRAIL FESTIVAL 2022 - SEMI TRAIL,1250 M+,19 KM
2810,Trail Godefroy | Bouillon 2022 - 50km,2440 M+,50 KM
2809,High Trail Vanoise 2022 - Trail des 6 Cols,3420 M+,43.9 KM
2808,Coastal High 50 2022,1952 M+,50.2 KM
2807,Dalmacija Ultra Trail 2022 - MOUNTAIN DUT,5680 M+,122 KM
2806,Nagles Half-Marathon 2022,660 M+,21 KM
2805,Ultra trail des montagnes du Jura 2022 - La Renarde,2790 M+,78.8 KM
2804,Iznik Ultra 2022 - 160 K,4910 M+,166.3 KM
2803,OTSO Trail Menorca Cami de Cavalls CdC 2022 - OTSO TRAIL MENORCA CAMI DE CAVALLS TMCDC,3500 M+,185 KM
2802,Jurassic Coast 100 2022 - 50k,1730 M+,47.6 KM
2801,High Trail Vanoise 2022 - Trail des 6 Cols DUO,3420 M+,43.9 KM
6109,The Westwind Trail 2023 - The Glorious Journey,8050 M+,169.2 KM
6108,Jigger Johnson 50 mile and 100k 2023 - Jigger Johnson 50 mile,5500 M+,80 KM
6107,EstrelAçor Ultra Endurance 2023 - Ultra Endurance 180km,8800 M+,180.3 KM
6106,Run the Ridge 2023 - Derrybawn Woods Trail 10 km,260 M+,10 KM
6101,Lake District Challenge 2023 - Lake District - 2nd Half,1170 M+,51.3 KM
6100,Ultra Trail Lago Maggiore 2023 2023 - BRAVE 52K,3100 M+,52 KM
6096,OMU Marathon 2023,2960 M+,41.8 KM
6093,Gorge Waterfalls 2023 - 50K,1710 M+,49.9 KM
6088,Desert Rats by UTMB 2023 - 21K,640 M+,21.8 KM
6087,TOUS AU BERNSTEIN  2023 - 24KDuoMixte,1200 M+,24 KM
6084,Alpe Adria Ultra Trail 2023 - Alpe Adria Ultra Trail 60 km,4100 M+,58.7 KM
6083,Trail des 4x1800 2023 - Le Trail des crêtes,1000 M+,20 KM
6082,CxM RUTE 2023 - CxM RUTE PROMESA,1500 M+,23 KM
6072,DYNAFIT  ANDORRA TRAIL 2023 - DYNAFIT ANDORRA TRAIL,3350 M+,47 KM
6071,GTPE-PICOS DE EUROPA 2023 - GTPE 10KM,500 M+,10 KM
6069,UTU 2023 2023 - 28 UTU,1480 M+,28 KM
6063,TRAIL DES MARCAIRES 2023,2750 M+,53.5 KM
6056,Jurassic Coast Challenge 2023 - 100km 2 Day,2050 M+,100 KM
6054,Lozère Trail 2023 - ULTRA LOZERE en DUO,5600 M+,110 KM
6053,Cotswold  Challenge 2023 - Cotswold Way 100km 2 Day,2040 M+,100 KM
6052,Lozère Trail 2023 - ULTRA LOZERE,5600 M+,110 KM
6050,Alicia Ultra 2023 - ALICIA TRAIL RUN 25KM,1560 M+,25 KM
5996,Cotswold  Challenge 2023 - Cotswold Challenge - Full,2040 M+,101 KM
5993,Ultra trail des montagnes du Jura 2023 - La Renarde,2620 M+,74.5 KM
5988,The Most Beautiful Thing 2023 - 30 Km,2075 M+,30.5 KM
5987,"20° Edición “UT-Tafí” - 2023 2023 - 42K - ""UT-Tafí""",1585 M+,43.5 KM
5985,Ultra Tour des 4 Massifs 2023 - Ut4m 20 Belledonne,2020 M+,22.5 KM
5984,Backen i trädgården 2023,3300 M+,45 KM
5983,Verghereto Trail  2023 - Short,850 M+,16 KM
5978,The Longest Day Trail 2023 - 100km,3380 M+,100 KM
5976,Trail Verbier St Bernard by UTMB 2023 - Verbier Marathon,3000 M+,42 KM
5975,Gruyère Trail Charmey (GTC) 2023 - Gruyère Trail Charmey - 24 km,1530 M+,24.4 KM
5947,EcoTrail Wicklow 2023 - EcoTrail Wicklow 80k,2460 M+,78.7 KM
5946,Trail de Chimay 2023 - 11km,250 M+,11 KM
5945,DESAFIO LPTR ETAPA PINDAMONHANGABA/SP 2023 2023 - Short Trail,800 M+,12 KM
5943,Ultra Paine 2023 - Ultra Paine - 80K,3220 M+,80 KM
5942,Trail do Texugo 2023 - Trail Sprint,760 M+,13.5 KM
5938,Trail du Grand Sénonais 2023 - LA SENS'AS,80 M+,11.9 KM
5937,Ultra Trail Lago Maggiore 2023 2023 - WILD 81K,5200 M+,81 KM
2799,Trail Verbier St Bernard by UTMB 2022 - Verbier Marathon,3670 M+,44.5 KM
2797,Tak Mountain Trail 2022 - TMT170 Solo,9660 M+,171.1 KM
2796,Morgan Hill Meat Grinder 2022,2438 M+,80 KM
2795,"Tittesworth Trail 10k, Half Marathon & 50K Ultra 2022 - Half Marathon",760 M+,21.2 KM
2794,West Macs Monster 2022 - 231km Sonder Monster,6830 M+,231.7 KM
2793,Pordarom trail running 2022,400 M+,25 KM
2791,Cotswold  Challenge 2022 - Cotswold Challenge - Full,2040 M+,101 KM
2790,Ultra Mazury 2022 - U30,815 M+,36.3 KM
2788,Freaky Creeky 2022 -  Long Course 80km,3005 M+,78 KM
7279,Merrell Trail Tour 2023 - 16 km MTT,720 M+,16 KM
7278,Brooks Run for the Wild 2023 - 50K,1287 M+,50 KM
7275,Endurancelife | Dorset 2023 - Marathon,1421 M+,43.5 KM
7274,"MaXi-Race du lac d'Annecy 2023 - Short-Race, le 1/4 de tour du lac d'Annecy pour tous",950 M+,16.7 KM
7257,Kodiak Ultra Marathons by UTMB 2023 - 100K,3109 M+,100 KM
7254,Doi Inthanon by UTMB 2023 - HMONG 50,2870 M+,50 KM
7253,The 8th Chongli Trailrun Challenge 2023 - THE 8TH CHONGLI TRAILRUN CHALLENGE 23K,665 M+,20 KM
7252,Pomerania Ultra-Trail 2023 - Pomerania Ultra Trail 100,2250 M+,100 KM
7249,INDONESIA MASTER MOUNTAIN RACE 2023,1420 M+,21 KM
7246,TRAMUVA: Trail de Muntanya de Vallada 2023 - Trail,1262 M+,22 KM
6309,Holcomb Valley Trail Run 2023 - 15 Mile,594 M+,25 KM
7230,PROENÇA TRAIL 2023 - PROENÇA  CROSS TRAIL,2680 M+,50.9 KM
7227,ULTRAMARATONA CAMINHOS DE CARAVAGGIO 2023 - UMCC 100 KM,3100 M+,100 KM
7221,Blackall 100 2023 - 100 Km,3190 M+,100.5 KM
7215,Ultra trail des montagnes du Jura 2023 - La CMM,1130 M+,43.5 KM
7214,"Anji Shanchuan ""Two-mountains"" mountainous-outdoor adventure series 2023 - Adventurer 21",719 M+,21 KM
7212,Endurancelife | Dorset 2023 - Ultra Marathon,1960 M+,53.4 KM
7207,Kailas Mount Ophir Ultra 2023 - MOUT25,789 M+,25 KM
7205,Tartufo Trail Running ® 2023 - SKY MARATHON,2150 M+,43.7 KM
7204,Moon Run Costa Rica 2023 - Moon Run Dominical Beach,2825 M+,54.4 KM
6308,Gian Ottica Suman Trail 2023,1100 M+,8.2 KM
7178,Metsovo Ursa Trail 2023 - Ursa Trail 21km,1150 M+,21.7 KM
7231,Peak District Challenge 2023 - Peak District -2nd Half,910 M+,51.6 KM
7203,Halloween Walk 2023 - 10K Walk,1 M+,10 KM
6328,UTVV SLOVENIA Ultra trail Vipava Valley 2023 - 110 km - CENTURION,4800 M+,110 KM
6323,Trail Godefroy | Bouillon 2023 - 18km,700 M+,18 KM
6320,DELICIOUS TRAIL DOLOMITI 2023 - 43K,3100 M+,43 KM
6319,Brisbane Trail Ultra 2023 - Trail 30km,820 M+,30.6 KM
6318,La Mision Brasil 2023 - La Mision Brasil 35 Km,2520 M+,37.9 KM
6315,Pomerania Ultra-Trail 2023 - Pomerania Trail 65 km,1770 M+,65.4 KM
6313,La Comblorane 2023 - L - 25 km,1580 M+,23.8 KM
6312,XTERRA O-SEE Trail 2023 - O-SEE 65K,2620 M+,65.6 KM
6310,DUO DE L'HERMITAGE 2023 - DUO LA CHAPELLE,1600 M+,42 KM
6303,Restonica Trail by UTMB 2023 - Tavignanu Trail,2270 M+,32.5 KM
6300,Trail des Dents du Midi 2023 - DDM Trail - 1er relais,1600 M+,27.8 KM
6299,Salomon Ultra-Trail® Hungary 2023 - Salomon Szentlászló Trail,3034 M+,83.4 KM
6259,Torlauf Dachstein 2023 - Torlauf Dachstein Halbmarathon,510 M+,24 KM
6258,Trail des Gombak 2023 - Gombak30,1220 M+,30.5 KM
6257,Subida al Peloto 2023 - Subida al Peloto - 30K,1500 M+,30 KM
6256,BigSea 2023 - BigSea 18 mile,634 M+,30.5 KM
6255,Zion 2023 - Zion 100,2830 M+,160.8 KM
6254,Trail des Dents du Midi 2023 - DDM Trail 32k,2370 M+,31.1 KM
6253,Reims Champagne Run 2023 - Le sacré trail,1300 M+,82 KM
6250,Otley High Views Trail Race & Ultramarathon 2023 - Otley High Views 20 Mile Trail Race,1169 M+,33.6 KM
6230,Sierra Andina Mountain Trail 2023 - Llanganuco – 15K,420 M+,15 KM
2787,ULTRA BOUCLE DE LA SARRA 2022 - Braeburn Talc,1529 M+,37.9 KM
2786,Tak Mountain Trail 2022 - TMT170-TEAM,9660 M+,171.1 KM
2785,Pordarom trail running 2022,800 M+,55 KM
2783,Fest'Trail Causses & Rougier 2022 - Le prologue,350 M+,8 KM
2782,Bogus 50/50 2022,2956 M+,80.4 KM
2781,EstrelAçor Ultra Endurance 2022 - Ultra Endurance 180km,9280 M+,182.7 KM
2780,Santo Thyrso Ultra Trilhos 2022 - STUT by FYKE,2300 M+,48 KM
2779,trail beauzacois 2022 - DENT L'DURE,1000 M+,25 KM
2778,ULTRA BOUCLE DE LA SARRA 2022 - Fuji Talc,2887 M+,72 KM
2777,Chornohora Night Marathon 2022 - Light 36km Autumn,2480 M+,36 KM
2776,DYNAFIT  ANDORRA TRAIL 2022 - LA SPORTIVA ANDORRA TRAIL,3350 M+,47 KM
7650,Xtreme Race by Salming 2023 - XTREME RACE 26K,1410 M+,26 KM
7647,TRAIL DE LAS SIERRAS 2023,1950 M+,43.5 KM
7636,AlUla Trail Race 2024 - Hegra Trail 50km,938 M+,50.5 KM
7677,Luchon Aneto trail 2023 - La DIKA,550 M+,10 KM
7613,IZU Trail Journey 2023 - ITJ70k,3242 M+,69.1 KM
7602,South Downs 100 K 2023 - 100k,2410 M+,100 KM
7641,Maxi Race Cape Winelands 2023 - Maxi Short 20km,965 M+,20 KM
7596,WTR Miguel Pereira 2023 - WTR miguel Pereira - 16k,803 M+,17.6 KM
7578,Cursa del Margalló 2023 - Cursa 22k,780 M+,22 KM
7577,Cuesta X Trail 2023 - CXT-30,1120 M+,31.8 KM
7625,MaxiCross 2024 - NightCross,999 M+,23.3 KM
7576,Mt. APO Sky & Vertical Race 2023 - 100Km,5000 M+,100 KM
7573,Luchon Aneto trail 2023 - La Kbour,1300 M+,21 KM
7426,Wienerberger Trail de Schorre 2024 - Wienerberger Trail de Schorre 6km,42 M+,6 KM
7423,Tirolês Trail Run 2023,1170 M+,42.3 KM
7610,Ultra trail Dinarides 2023 - Family race,330 M+,10 KM
7422,St Off en Trail 2023 - Trail des Crêt de Bange - TCB 34,2280 M+,34 KM
7417,Trail de l'aqueduc 2023 - L'Expédition Relais,1030 M+,42.2 KM
7697,Trail Costa Vicentina 2023 - Trail,452 M+,25 KM
7685,4TRAIL - SERRA DO CRUZEIRO  2023 - 4TRAIL - SERRA DO CRUZEIRO,621 M+,15 KM
7683,4TRAIL - SERRA DO CRUZEIRO  2023 - 4TRAIL - SERRA DO CRUZEIRO,1480 M+,33 KM
7673,K42 CANARIAS ANAGA MARATHON 2023 - K42,2365 M+,42.2 KM
7416,Trail de l'aqueduc 2023 - L'Expédition,1030 M+,42.2 KM
7415,Formosa Trail 2023 - Formosa Ultra-Trail® 104km,5700 M+,104 KM
7414,Trail Running of Meishan 2023 - MS35,2770 M+,34 KM
7413,ASCOLI XTREME TRAIL 2023 - EREMO TRAIL,700 M+,14 KM
7412,Selva costera trail 2024 - Inicia al trail,507 M+,10 KM
7411,Trail du Néron 2023 - Néron Express,900 M+,15 KM
7409,KNAP TRAIL 2024 - T' KRATKA,930 M+,16 KM
7200,NANJING LAOSHAN TRAIL 2023 - 54KM,2496 M+,54.1 KM
7199,Khao Lang Baan 2023 2023 - UTKB55,2921 M+,55 KM
6306,Predeal Forest Run 2023 - K32,1780 M+,32 KM
7196,Bucovina Ultra Rocks® 2023 - Ultra Rocks 110k,6360 M+,109.9 KM
7195,Baldo Trail Fest 2023 - Big Baldo,2950 M+,45 KM
7194,LA VENI VICI 2023 - LA VENI VICI - 27 KM,640 M+,27.8 KM
7193,Volvic Volcanic Expérience 2023 - Ultra Trail Expérience - Chaîne des Puys - Faille de Limagne,3370 M+,111.6 KM
7189,Trail Kursiu Nerija (#TKN2023) 2023 - 102 KM,1300 M+,104 KM
7197,Castellum Trail 2023 - Ultra Trail,1500 M+,45 KM
6322,Trail de la grande champagne - Estival 2023 - La bataille,1000 M+,26.5 KM
6321,Trail des 2 Roches 2023 - T2R - 27 km,1000 M+,27 KM
6317,Salomon Cappadocia Ultra-Trail® 2023 - CMT,2030 M+,63.6 KM
6316,Scafell Pike Trail Marathon 2023 - 42 Km,1800 M+,43.4 KM
6305,Ultra Blue Island® by Azores Trail Run® 2023 - Whalers' Great Route Ultra-Trail®,4900 M+,118 KM
6304,TECHNI TRAIL TIRANGES 2023 - TTT 83KM RELAIS,4804 M+,83 KM
6293,Matanao Mountain Marathon 2023 - 70km Grandmaster,3500 M+,70 KM
6286,Trail Kursiu Nerija (#TKN2023) 2023 - 70 KM,944 M+,70.7 KM
2775,Snowdon24 2022 - Snowdon Triple,2895 M+,45.9 KM
2774,SAPPORO★TEINETRAIL 2022 - Expert,2700 M+,48.2 KM
2773,MARATON SCAUNUL DOMNULUI 2022 - MSD 50k,2127 M+,50 KM
2772,Ultra Trail Lago Maggiore 2022 - WILD 81K,4890 M+,82.7 KM
2771,Marathon du Grand Ballon 2022 - 26km,1350 M+,26 KM
2770,"Jesenický maraton 2022 - Salomon, Jesenický maraton",1780 M+,41.6 KM
2769,Kilkenny ridge race  2022 - 50 mile,4572 M+,80 KM
2768,Trail 2 Heaven 2022 - 50K,2640 M+,50.7 KM
2767,Centurion Chiltern Wonderland 50 2022,1750 M+,80.7 KM
2757,Montafon Totale Trail  2022 - Montafon Totale Ultra,4200 M+,47 KM
2752,Lake District Challenge 2022 - Lake District - 2nd Half,1170 M+,51.3 KM
2751,Douro Montemuro Ultra Trilhos 2022 - DMUT 50,2810 M+,52 KM
2749,Ultra Madeira® 2022 - Ultra 83KM,3810 M+,83.8 KM
2748,2º STAGE INSANE - MORUNGABA 2022 - STAGE INSANE 11K,606 M+,11 KM
2745,Challenge du Montcalm 2022 - Marathon du Montcalm,2750 M+,42 KM
7568,The WILD 2023 - The Beast of Brow,1050 M+,11 KM
7588,Across Mountains and Seas 100km TrailRun 2023 - 15km,200 M+,10 KM
7584,Across Mountains and Seas 100km TrailRun 2023 - 100km,4500 M+,100 KM
7583,KTR ILHABELA 2023 - KTR LONGA 42K,2180 M+,42 KM
7560,Run The Rock 2023 - 50K,1424 M+,49.8 KM
7559,Capito Trail 2023 - CAPITO 20,890 M+,20 KM
7428,Sobresobio Redes Trail 2023 - SOT Original Trail,2100 M+,32.3 KM
7407,Ultra Sanabria by Stages 2023 - MASA,2490 M+,43 KM
7405,Trail Du Tour Des Fiz 2023 - Tour des 5 refuges,2330 M+,33.8 KM
7402,Gapen'Cimes 2023 - Trail des crêtes,1390 M+,29.4 KM
7396,THP winter 2023 - W10,690 M+,12.8 KM
7395,CUTPUGLIA  2023 - CUTPUGLIA 13K,598 M+,13 KM
7393,KNAP TRAIL 2024 - T' SREDNA,1600 M+,30 KM
7392,COLICO TRAIL CUNCO 2023 - 14K,900 M+,13.5 KM
7389,Cursafosca 2023,500 M+,14 KM
7384,24h G8 of UTMG 2023 - 12h G4,3420 M+,30 KM
7383,La Chouffe Trail 2023 - La Chouffe Trail 36km,950 M+,36 KM
7380,EstrelAçor Ultra Endurance 2023 - Estrela Ultra,2080 M+,48.1 KM
7379,DESAFIO DAS SERRAS - Parque Estadual Campos do Jordão 2023 - Desafio das Serras,1059 M+,23 KM
7378,TECHNI TRAIL TIRANGES 2023 - TTT 15KM,610 M+,15 KM
7375,SwissPeaks Trail 2023 - 100K,6180 M+,100.3 KM
7371,Ultra Transmantiqueira - UTM   2023 - 50km,1704 M+,50 KM
7362,Kyoto Great Round 2023 - Kyoto Great Round GT,10000 M+,200 KM
7360,Sagalassos Sky Ultra 2023 - Trail Run,710 M+,17.4 KM
7357,SKY GRAN CANARIA (BEYOND THE COAST SKY TOUR) 2023 - SKY TAA50,2660 M+,50 KM
7354,Sowers Action Challenging 12 Hours 2023 - SOWERS CHALLENGING 12 HOURS - 42K Team,1980 M+,42 KM
7353,3 Cims de Vilafamés 2023,1640 M+,29.9 KM
7350,Trail des Châteaux 2023,1800 M+,33.5 KM
7349,BRUT BARILOCHE RUNNING ULTRA TRAIL 2023 - BRUT 22 K 2023,1886 M+,22 KM
7348,HK50 WEST 2024 - 50Km Individual,2260 M+,54.1 KM
7361,WTR Serra do Mar 2023 - WTR Serra do Mar - 16k,782 M+,16 KM
6327,Gletscher Trailrun 2023 - Gletscher Trail 14K,850 M+,13.9 KM
6324,Les Crêtes Vosgiennes 2023,1280 M+,32.7 KM
6314,K3 ULTRA GOLD BORDER RACE 2023 - GBR43,1400 M+,43 KM
6311,The Longest Day Trail 2023 - 24km,740 M+,24 KM
6307,Wild Earth 'In the Raw' Trail Run 2023 - In the Raw 25k,1030 M+,25 KM
6302,Trail du Contrebandier 2023 - 30KM,1000 M+,30 KM
6301,TECHNI TRAIL TIRANGES 2023 - TTT 83KM,4790 M+,83 KM
6297,GRAND RAID CAMARGUE 2023,57 M+,66 KM
6296,Eastern Rhodopes Wild Race 2023 - Wild,2060 M+,67 KM
6292,Tschirgant Skyrun 2023 - TS26,1920 M+,26.6 KM
6290,LA VARA TRAIL 2023 - LA VARA #ENKDNA2 60PRO,4189 M+,70 KM
6282,fuzhou  Kuliang trail race 2023 - 70KM,4070 M+,72 KM
6277,Cimalp Tignes Trail 2023 - 46KM,3070 M+,46.6 KM
2744,Trail des Hauts Forts 2022 - Relais des contrebandiers - Relais 2,1840 M+,22.6 KM
2743,Ultra-Trail® Guaraní 2022 - 50K,2520 M+,55 KM
2740,Belle-île en Trail 2022 - ULTRA DES VAGUES,2250 M+,81 KM
7706,Dark45 2023 - Light16 Youth,1164 M+,15.9 KM
7689,Hut 2 Hut 2024 - Oscars100,5830 M+,100 KM
7639,ULTRA-TRAIL GUARA SOMONTANO 2023 - ULTRA TRAIL GUARA SOMONTANO 102KM,5000 M+,102 KM
7679,TAIHU LAKE INFINITY TRAIL RACE 2023 - 纵横弁山,1400 M+,26 KM
7638,Zamboanga Mountain Ultra Marathon 2023,1156 M+,25 KM
7635,DESAFIO PEDRA GRANDE DE QUATINGA 2023 - DESAFIO PEDRA GRANDE DE QUATINGA - 14K,758 M+,14 KM
7669,Grande Trail Serra d'Arga 2023 - GTSA 17KM,550 M+,17 KM
7634,Translantau by UTMB 2023 - TransLantau25,1100 M+,27 KM
7671,NUTS Ylläs Pallas 2023 - 100K,2394 M+,100 KM
7633,Ultribe Paderu 2023 - Ultribe Paderu - 50K,2619 M+,51 KM
7632,Conero Trail 2023,1300 M+,25 KM
7682,Trail CMP Concello de Arteixo 2023 -  Largo ( Equipos),1850 M+,28.5 KM
7681,Sierra Andina - Chavin Trail 2023 - Chavin Trail 15K,1100 M+,14 KM
7631,Wienerberger Trail de Schorre 2024 - Wienerberger Trail de Schorre 11km,84 M+,11 KM
7630,Trail Dei Folendari 2023 - Folendari 15,750 M+,15 KM
7656,ULTRA MARATÓN BOLIVIA 2023 - TRADICIONAL MILLARES 50K,2330 M+,50 KM
7657,"Boca de Pez Trail Journey 2023 - Kv Escalera al Cielo ""Rob D"" 5k",1050 M+,5 KM
7496,Sparnatrail 2023,1560 M+,61 KM
7495,On the Winter's edge 2023 - Vertical KM,1070 M+,5.5 KM
7492,Winter Trail 2023 - Trail Half-Marathon,600 M+,22.1 KM
7486,Xtreme Race by Salming 2023 - XTREME RACE 54K,2340 M+,54.5 KM
7642,Trail des Sucs 2023 - L'Assaut des Sucs,900 M+,25.9 KM
7485,SRT Ultra 2023 - Sinhagad to Rajgad 25Km,1100 M+,25 KM
7620,Naszály Trail 2023 2023 - Naszály Trail L 27km,1203 M+,27 KM
7481,Vietnam Trail Marathon 2024 - Ultra 70km,3000 M+,70.2 KM
7617,MANTRA116 2023 - MANTRA116 - 15K,1000 M+,16 KM
7479,Cuesta X Trail 2023 - CXT-55,1960 M+,55.9 KM
7478,Trail Masters Series - Wisdom Valley 2024 - 50K,1890 M+,50 KM
7477,Alpin Trail De Pichauris 2023 - Alpin Expert,4200 M+,79 KM
7710,The Pilgrim Challenge 2024 - 66 Miles - 2 Days,2365 M+,102 KM
7709,Vietnam Mountain Marathon 2023 - Ultra 100Km,6200 M+,100.7 KM
7707,LKL-DMT Mountain Trails 2024 - LKL43-2024,3224 M+,43 KM
7704,Epic Camí de Cavalls 360º 2023 - Epic Camí de Cavalls 360º Experience,1496 M+,91.7 KM
7670,AREZZO WILD TRAIL 2023 - WILD MARATHON,1900 M+,43 KM
7668,Lycian Way Ultra Marathon 2023 - Lycian Way Ultra  - 100k,3830 M+,100.9 KM
7667,Tartufo Trail Running ® 2023 - SKY TRAIL DECOUVERTE 17 KM,920 M+,17.1 KM
7666,The 9 Dragons Ultra 2024 - The 9 Dragons - 50/50,8800 M+,143.5 KM
7665,Bagnoles Normandie Trail 2023 - Ultra Trail,1808 M+,102 KM
7664,The 9 Dragons Ultra 2024 - The 9 Dragons - 50 Miles,5070 M+,86 KM
7662,Hvitasunnuhlaup Hauka (Pentecost Trail Race) 2023 - Pentacoast Trail Race,430 M+,21.6 KM
7439,Medvednica trail 2023 - Gorščica 15K,510 M+,14.7 KM
7429,Cassino Ultra Race 2023,1000 M+,460 KM
7427,Pong Yaeng Trail 2023 - PYT100,6660 M+,109 KM
7408,TRAIL DES COMBRAILLES 2023 - les 2 barrages,1440 M+,37 KM
7400,HK50 WEST 2024 - 25Km Individual,1220 M+,25 KM
7399,Cuesta X Trail 2023 - CXT-100,3150 M+,105.8 KM
7398,Sfakia Sky Marathon 2023 - Sfakia Vertical Run,680 M+,4.9 KM
7397,Capito Trail 2023 - Marathon du Meygal,2000 M+,42 KM
6326,WTR Campos do Jordão 2023 - WTR Campos do Jordão - 18k,843 M+,18 KM
6325,CM6 2023,8600 M+,134.3 KM
6288,Bologna Marathon in Trail 2023 - BOLOGNA MARATHON IN TRAIL - 43KM,1400 M+,43 KM
6281,MONTE HALCON RED ULTRA 2023,1200 M+,45 KM
6280,Maxi Race Cape Winelands 2023 - Maxi Marathon 45km,1429 M+,45 KM
7888,Doi Inthanon by UTMB 2023 - RAJAPRUEK 10,290 M+,10 KM
7889,Penna Trail Run 2024,1640 M+,33 KM
7893,Houffatrail 2024 - Houffa Trail 10km,340 M+,10 KM
7839,The Winter Green Man Ultra 2024 - Winter Green Man Ultra 45,1225 M+,72 KM
7619,GUANGZHOU 100 ULTRA TRAIL RACE 2024 - 60KM-GZ100,3042 M+,67.1 KM
7605,UTRECHTSE HEUVELRUG ULTRA TRAIL 2023 - Utrechtse Heuvelrug Ultra Trail (UHUT100),806 M+,100 KM
7627,Inspira Eco Run 2023 2023 - Inspira Eco Run 2023 Percurso Curto,190 M+,5 KM
7606,Les Défis des Chalets 2023 - Défi 25k,1600 M+,25.8 KM
7604,San  Rafael Mountain Run  2023 - San Rafael Mountain Run,1755 M+,32 KM
2739,Dolomiti Extreme Trail 2022 - 55K,3800 M+,55 KM
2738,North Sea Ultra - Sylt 2022 - North Sea Ultra Relay,210 M+,111 KM
2737,Vadrózsa 2022 - Vadrózsa 50,2015 M+,52 KM
7838,Trail du barrage 2023 - 10km,430 M+,10 KM
7820,fuzhou  Kuliang trail race 2023 - 20KM,1300 M+,19 KM
7818,Le défi de fort l'écluse 2023 - Le défi de fort l'écluse 19km,970 M+,19.1 KM
7817,Tarawera Ultra-Trail by UTMB® 2024 - T21,394 M+,23.1 KM
7816,ULTRA TRACE DE GUADELOUPE 2024 - UT25 SEMI NOCTURE,830 M+,25 KM
9042,Wildstrubel by UTMB 2024 - Wild 110,3700 M+,72 KM
9039,MOUNTAINMAN Nesselwang 2024 - XL-Trail,2668 M+,42 KM
9037,Thames Path Challenge 2024 - 3/4 Quarters,117 M+,72 KM
9032,CURSA DE BRÀFIM 2024 - CURSA DE BRAFIM,580 M+,22 KM
9030,EPHESUS ULTRA MARATHON 2024 - EPHESUS MEDIUM TRAIL 61KM,2610 M+,61 KM
9026,TRAILCAT The Race 2024 - TRAILCAT200,14800 M+,318 KM
9024,GPTR  2024 - GPTR_22K,701 M+,22 KM
